a_from;csn_from;a_to;csn_to;sa_to;plural
;Yellow Eye;;Gelbauge;der;
a;Giant Chitterskrag;einen;Riesigen Chitterskrag;der;
a;Jungle Skrubb;einen;Dschungel-Skrubb;der;
a;Twisted Mucosa Brute;einen;Verdrehten Mucosa-Schläger;der;
a;Shadowjumper Minion;einen;Shadowjumper-Schergen;der;
the;Rune Guardian;den;Runenwächter;der;
an;Air Elemental Minion;einen;Luftelementar-Schergen;der;
an;Earth Elemental Minion;einen;Erdelementar-Schergen;der;
a;Water Elemental Minion;einen;Wasserelementar-Schergen;der;
a;Jungle Slinger Camora;eine;Dschungelschleuder Camora;die;
a;Hassat Commander;einen;Hassati-Kommandeur;der;
a;Rune Caster;einen;Runenleger;der;
a;Rune Master;einen;Runenmeister;der;
;Killer Vines;;Todesranken;die;x
a;Mantrap;eine;Menschenfalle;die;
;Krakemaw the Putrid;;Krakemaw den Stinkenden;der;
a;Cicatrix's Skeleton Fighter;einen;Cicatrix’ Skelettkämpfer;der;
a;Cicatrix's Skeleton Archer;einen;Cicatrix’ Skelettbogenschützen;der;
a;Shadow Servant;einen;Schattendiener;der;
a;Shadowjumper Lieutenant;einen;Shadowjumper-Leutnant;der;
