a_from;csn_from;a_to;csn_to;sa_to;plural
;;;;;
an;Arakun Spider;eine;Arakun-Spinne;die;
a;Forest Phrak;einen;Wald-Phrak;der;
a;Frostnid;einen;Frostnid;der;
a;Frost Spitter;einen;Frostnid-Spucker;der;
a;Giant Moth;eine;Riesenmotte;die;
a;Giant Wasp;eine;Riesenwespe;die;
a;Phrak;einen;Phrak;der;
a;Phrak Piercer;einen;Phrak-Schlitzer;der;
a;Stalagnid;einen;Stalagnid;der;
a;Swamp Stinger;einen;Sumpfstecher;der;
a;Yellow Spider;eine;Gelbe Spinne;die;
a;Soul Stinger;einen;Seelenstecher;der;
a;Googore Grub;eine;Googore-Larve;die;
a;Furok Slasher;einen;Furok Schlitzer;der;
a;Gray Wolf;einen;Grauwolf;der;
a;Klaw;einen;Klaw;der;
a;Krug Dog;einen;Krug-Hund;der;
a;Krug Killer Dog;einen;Krug-Kampfhund;der;
a;White Wolf;einen;Weißen Wolf;der;
a;Red Drake;einen;Roten Drachen;der;
a;Blue Drake;einen;Blauen Drachen;der;
a;Frost Drake;einen;Frostdrachen;der;
a;Lectar;einen;Lectar;der;
a;Mangler;einen;Mangler;der;
a;Sea Mangler;einen;Seemangler;der;
a;Slarg;einen;Slarg;der;
a;Snapper;einen;Schnapper;der;
a;Spiked Maw;ein;Dornenbewehrtes Maul;das;
a;Giant Lizard;eine;Riesenechse;die;
;;;;;
a;Horrid;einen;Fürchterlich;der;
a;Synged;ein;Verkohlt;das;
a;Vile Mucosa;einen;Gemeinen Mucosa;der;
a;Dark Mucosa;einen;Dunklen Mucosa;der;
a;Forest Darkling;einen;Waldfinsterling;der;
a;Toreck;einen;Toreck;der;
a;Kell;einen;Kell;der;
;;;;;
a;Bronze Gargoyle;einen;Wasserspeier aus Bronze;der;
a;Gargoyle;einen;Wasserspeier;der;
a;Lava Beast;ein;Lavaungeheuer;das;
a;Lava Spirit Fighter;einen;Lavageist-Kämpfer;der;
a;Blue Shard;eine;Blaue Scherbe;die;
a;Green Shard;eine;Grüne Scherbe;die;
an;Ice Archer;einen;Eisbogenschützen;der;
an;Ice Fly;eine;Eisfliege;die;
an;Ice Warrior;einen;Eiskrieger;der;
a;Purple Shard;eine;Rote Scherbe;die;
a;Swamp Creature;ein;Sumpfwesen;das;
a;Swamp Slinger;eine;Sumpfschleuder;die;
a;Teal Shard;eine;Tonscherbe;die;
;;;;;
a;Braak;einen;Braak;der;
a;Braak Mage;einen;Braak-Zauberer;der;
a;Krug Scavenger;einen;Krug-Strauchdieb;der;
a;Krug Scout;einen;Krug-Späher;der;
a;Krug Grunt;einen;Krug-Soldat;der;
a;Krug Chucker;einen;Krug-Schleuderer;der;
a;Krug Guard;einen;Krug-Wächter;der;
a;Krug Raider;einen;Krug-Plünderer;der;
a;Krug Commander;einen;Krug-Kommandeur;der;
a;Krug Apprentice;einen;Krug-Lehrling;der;
a;Dark Lunger;einen;Dunkelspringer;der;
a;Dark Slinger;eine;Finsterschleuder;die;
a;Dark Caster;einen;Dunklen Hexer;der;
a;Trog;einen;Trog;der;
a;Trog Warrior;einen;Trog-Krieger;der;
a;Trog Knight;einen;Trog-Ritter;der;
a;Bandit;einen;Bandit;der;
a;Bandit Archer;einen;Räuberbogenschützen;der;
a;Gorack;einen;Gorack;der;
a;Swamp Troll;einen;Sumpftroll;der;
a;Goblin Grunt;einen;Goblin-Kämpfer;der;
a;Goblin Guard;eine;Goblin-Wache;die;
a;Cyclops;einen;Zyklopen;der;
a;Water Lunger;einen;Wasserspringer;der;
a;Water Slinger;eine;Wasserschleuder;die;
a;Sand Ripper;einen;Sandschlitzer;der;
a;Sand Mage;einen;Sandmagier;der;
a;Sand Basher;einen;Sandschläger;der;
a;Droog Grunt;einen;Droog-Krieger;der;
a;Droog Archer;einen;Droog-Bogenschützen;der;
a;Droog Mage;einen;Droog-Magier;der;
;;;;;
a;Kill Bot;einen;Bot Töten;der;
a;Hunter;einen;Jäger;der;
a;Copter;einen;Copter;der;
a;Perforator;einen;Durchbohrer;der;
a;Heater;einen;Ofen;der;
a;Blaster;einen;Sprenger;der;
a;Gobbot Shocker;einen;Gobbot-Schocker;der;
a;Gobbot Igniter;einen;Gobbot-Feuerteufel;der;
a;Gobbot Gunner;einen;Gobbot-Schützen;der;
a;Gobbot Grenadier;einen;Gobbot-Grenadier;der;
;;;;;
a;Skeleton Archer;einen;Skelettbogenschützen;der;
a;Skeleton Guard;eine;Skelettwache;die;
a;Skeleton Mercenary;ein;Söldnerskelett;das;
a;Skeleton Ranger;einen;Skelettwaldläufer;der;
a;Wraith Mage;einen;Gespenstermagier;der;
a;Ghost;einen;Spuk;der;
a;Rector;einen;Rektor;der;
a;Walking Corpse;eine;Wandelnde Leiche;die;
a;Tortured Corpse;eine;Gequälte Leiche;die;
a;Goo Walker;einen;Goo-Geher;der;
a;Zombie;einen;Zombie;der;
