a_from;csn_from;a_to;csn_to;sa_to;plural
;;;;;
a;Legionnaire Guard from Elddim;einen;Legionswächter aus Elddim;der;
a;Legionnaire Archer from Elddim;einen;Bogenschützen der Legion aus Elddim;der;
the;Guard Captain of Elddim;den;Wachhauptmann von Elddim;der;
a;Legionnaire Guard from Crystwind;einen;Legionswächter aus Kristallwind;der;
a;Legionnaire Archer from Crystwind;einen;Bogenschützen der Legion aus Kristallwind;der;
the;Guard Captain of Crystwind;den;Wachhauptmann von Kristallwind;der;
a;Legionnaire Guard from Fallraen;einen;Legionswächter aus Fallraen;der;
a;Legionnaire Archer from Fallraen;einen;Bogenschützen der Legion aus Fallraen;der;
the;Guard Captain of Fallraen;den;Wachhauptmann von Fallraen;der;
