a_from;csn_from;a_to;csn_to;sa_to;plural
an;Alpine Phrak;einen;Bergphrak;der;
a;Krug Forager;einen;Krug-Wildbeuter;der;
an;Ice Phrak;einen;Eisphrak;der;
a;Krug Tracker;einen;Krug-Fährtenleser;der;
a;Frost Guardian;einen;Frostwächter;der;
an;Ice Guardian;einen;Eiswächter;der;
;Braagdak the Growler;;Braagdak den Knurrer;der;
an;Ice Phrak Terror;einen;Eisphrak-Schrecken;der;
a;Krug Growler;einen;Krug-Knurrer;der;
a;Krug Hunter;eine;Krug-Jäger;die;
;Gragba the Trapper;;Gragba den Fallensteller;der;
a;Polar Bear;einen;Eisbär;der;
a;Krug Icepelter;einen;Krug-Eiswerfer;der;
